"","p10","start.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"112",112,1989-01-15 07:00:00,23.87,29.58,26.03,236.1,88.3,3.59,NA,"N ",NA,NA
"113",113,1989-01-25 07:00:00,23.96,29.74,26.87,77.7,83.8,5.28,2.4,"N ",NA,NA
"114",114,1989-02-04 07:00:00,24.32,30.02,26.81,138.6,82,4.86,2.55555555555556,"N ",NA,NA
"115",115,1989-02-14 07:00:00,23.51,29.58,26.19,166.2,86.1,4.29,1.66666666666667,"N ",NA,NA
"116",116,1989-02-24 07:00:00,24.34,30.38,26.93,95.4,85.6,3.28,2,"N ",NA,NA
"117",117,1989-03-06 07:00:00,23.82,30.27,26.73,78.8,82.5,5.37,2.66666666666667,"N ",NA,NA
"118",118,1989-03-16 07:00:00,23.18,31.03,26.42,7.3,85.7,5.4,NA,"N ",NA,NA
"119",119,1989-03-26 07:00:00,23.02,29.88,25.6,149.8,88.3,4.24,1.5,"N ",NA,NA
"120",120,1989-04-05 07:00:00,23.72,30.49,26.26,52.2222222222222,87.2,5,2,"N ",NA,NA
"121",121,1989-04-15 07:00:00,23.66,31.13,26.87,10.2,86.8,5.73,NA,"N ",NA,NA
"122",122,1989-04-25 07:00:00,23.98,31.78,27.19,24.5,84.4,6.16,NA,"N ",NA,NA
"123",123,1989-05-05 07:00:00,23.64,31.48,26.93,178.666666666667,86.9,6.14,1.66666666666667,"N ",NA,NA
"124",124,1989-05-15 07:00:00,23.81,31.51,27.1,88.3,85.7,6.15,1.66666666666667,"N ",NA,NA
"125",125,1989-05-25 07:00:00,23.72,31.3,27,47.4444444444444,86.2,5.27,NA,"N ",NA,NA
"126",126,1989-06-04 07:00:00,23.5,31.18,26.91,57.7,85,6.4,1.85714285714286,"N ",NA,NA
"127",127,1989-06-14 07:00:00,22.89,30.99,26.56,88.4444444444444,84.9,5.41,1.85714285714286,"N ",NA,NA
"128",128,1989-06-24 07:00:00,22.98,31.05,26.13,49.2,85.5,5.52,2.14285714285714,"N ",NA,NA
"129",129,1989-07-04 07:00:00,23.38,30.96,26.31,65.2,85.9,4.83,NA,"N ",NA,NA
"130",130,1989-07-14 07:00:00,22.98,30.94,26.04,105.6,86.5,5.91,1.8,"N ",NA,NA
"131",131,1989-07-24 07:00:00,23.08,31.86,26.37,60.4444444444444,84.3,6.63,2.11111111111111,"N ",NA,NA
"132",132,1989-08-03 07:00:00,22.78,31.77,26.89,7.6,83.9,6.91,2.16666666666667,"N ",NA,NA
"133",133,1989-08-13 07:00:00,22.58,31.41,26.43,11.6666666666667,86,6.61,2.5,"N ",NA,NA
"134",134,1989-08-23 07:00:00,23.14,31.32,26.5,34.8,88,5.82,2.3,"N ",NA,NA
"135",135,1989-09-02 07:00:00,23.24,31.74,26.67,15.4444444444444,86,5.94,2.9,"N ",NA,NA
"136",136,1989-09-12 07:00:00,23,31.77,26.67,52.4,86.7,6.4,1.88888888888889,"N ",NA,NA
"137",137,1989-09-22 07:00:00,23.34,30.28,26.02,207.222222222222,89.8,5.07,2.66666666666667,"N ",NA,NA
"138",138,1989-10-02 07:00:00,23.38,30.63,26.44,92,87.8,4.17,NA,"N ",NA,NA
"139",139,1989-10-12 07:00:00,23.42,30.96,26.34,120.222222222222,88.8,4.81,1.57142857142857,"N ",NA,NA
"140",140,1989-10-22 07:00:00,23.64,30.4,26.32,173,88,4.2,NA,"N ",NA,NA
"141",141,1989-11-01 07:00:00,23.76,30.46,26.57,65.9,87.9,4.74,NA,"N ",NA,NA
"142",142,1989-11-11 07:00:00,24.38,30.64,27.05,148.4,88.7,5.14,NA,"N ",NA,NA
"143",143,1989-11-21 07:00:00,23.84,30.25,26.51,124.6,88.9,5.25,2,"N ",NA,NA
"144",144,1989-12-01 07:00:00,23.72,30.04,26.28,163.2,89.8,4.68,2,"N ",NA,NA
"145",145,1989-12-11 07:00:00,23.88,30.33,26.97,86.4,86.7,5.74,1.875,"N ",NA,NA
"146",146,1989-12-21 07:00:00,23.88,30.37,26.39,200.9,92.1,4.88,NA,"N ",NA,NA
"147",147,1989-12-31 07:00:00,24.1,29.62,26.62,78.125,87.5,3.26,2.11111111111111,"N ",NA,NA
"148",148,1990-01-10 07:00:00,23.78,29.92,26.2,85.4,88.1,4.37,NA,"N ",NA,NA
"149",149,1990-01-20 07:00:00,24.32,30.03,27.16,27.2,85.3,5.42,2.5,"N ",NA,NA
"150",150,1990-01-30 07:00:00,23.7,30.4,26.43,212.4,87.9,4.59,NA,"N ",NA,NA
"151",151,1990-02-09 07:00:00,23.7,29.74,26.34,158.7,89.4,2.18,NA,"N ",NA,NA
"152",152,1990-02-19 07:00:00,23.72,30.44,26.64,238.1,86.3,5.03,1.83333333333333,"N ",NA,NA
"153",153,1990-03-01 07:00:00,23.86,30.16,26.61,60.1,87.6,5.25,2,"N ",NA,NA
"154",154,1990-03-11 07:00:00,24.65,31.22,27.54,137.444444444444,84.4,5.71,1.88888888888889,"N ",NA,NA
"155",155,1990-03-21 07:00:00,23.84,31.14,27.11,68.3,86.2,5.35,NA,"N ",NA,NA
"156",156,1990-03-31 07:00:00,23.44,30.39,26.46,197,89.7,4.47,NA,"N ",NA,NA
"157",157,1990-04-10 07:00:00,24.48,31.36,27.1,156.375,87,4.21,NA,"N ",NA,NA
"158",158,1990-04-20 07:00:00,24.06,31.77,27.5,26.5555555555556,83.9,6.12,NA,"N ",NA,NA
"159",159,1990-04-30 07:00:00,24.08,31.76,26.94,130.7,87.8,5.05,NA,"N ",NA,NA
"160",160,1990-05-10 07:00:00,24.28,31.61,27.4,100.333333333333,85.9,6.25,NA,"N ",NA,NA
"161",161,1990-05-20 07:00:00,24.5,32.24,27.81,25.8,84.3,6.96,NA,"N ",NA,NA
"162",162,1990-05-30 07:00:00,23.84,31.74,27.21,81.8,85,5.52,NA,"N ",NA,NA
"163",163,1990-06-09 07:00:00,22.8,31.85,27,0,81.7,6.92,1.7,"N ",NA,NA
"164",164,1990-06-19 07:00:00,23.68,31.77,27.22,85.7,85.5,4.51,NA,"N ",NA,NA
"165",165,1990-06-29 07:00:00,23.31,31.58,26.49,77.375,86.4,5.95,NA,"N ",NA,NA
"166",166,1990-07-09 07:00:00,23.1,30.94,26.29,57.125,87.6,5.57,1.85714285714286,"N ",NA,NA
"167",167,1990-07-19 07:00:00,22.74,31.48,26.07,59.2222222222222,86.2,7.28,2,"N ",NA,NA
"168",168,1990-07-29 07:00:00,23.34,31.11,26.46,1.9,88.4,4.9,1.83333333333333,"N ",NA,NA
"169",169,1990-08-08 07:00:00,22.5,31.03,25.98,1.9,84.1,6.74,2.375,"N ",NA,NA
"170",170,1990-08-18 07:00:00,21.79,31.59,26.13,0,84.7,7.59,2.9,NA,NA,NA
"171",171,1990-08-28 07:00:00,22.56,32.34,26.7,0.1,84.2,6.66,2.4,"N ",NA,NA
"172",172,1990-09-07 07:00:00,22.93,32.42,26.84,0,82.9,7.32,3.1,"S ",NA,NA
"173",173,1990-09-17 07:00:00,23.12,31.71,26.51,42.8,86.2,5.65,2.625,"N ",NA,NA
"174",174,1990-09-27 07:00:00,22.69,31.78,26.73,10.75,84.1,6.88,2.3,"S ",NA,NA
"175",175,1990-10-07 07:00:00,23.21,31.96,26.89,24.6666666666667,84.1,6.61,2.2,"N ",NA,NA
"176",176,1990-10-17 07:00:00,23.13,30.61,26.04,249.25,89.5,4.18,NA,"N ",NA,NA
"177",177,1990-10-27 07:00:00,23.94,30.6,26.41,162.5,90.4,5.07,NA,"N ",NA,NA
"178",178,1990-11-06 07:00:00,23.44,31.22,27.05,53.6,85,5.61,NA,"N ",NA,NA
"179",179,1990-11-16 07:00:00,23.88,31.58,27.07,72.1,85.6,6.78,NA,"N ",NA,NA
"180",180,1990-11-26 07:00:00,24.37,30.96,27.14,126.888888888889,87,4.87,1.14285714285714,"N ",NA,NA
"181",181,1990-12-06 07:00:00,23.92,30.21,26.29,115.3,90.3,4.57,NA,"N ",NA,NA
"182",182,1990-12-16 07:00:00,24,29.71,26.39,117.9,89.5,3.78,2,"N ",NA,NA
"183",183,1990-12-26 07:00:00,23.9,30.51,26.5,173.3,89.4,4.72,NA,"N ",NA,NA
"184",184,1991-01-05 07:00:00,24.18,30.84,27.25,63.4,85,4.89,NA,"N ",NA,NA
"185",185,1991-01-15 07:00:00,24.06,29.81,26.37,62.6,90.1,2.97,NA,"N ",NA,NA
"186",186,1991-01-25 07:00:00,24.22,30.01,26.53,103.5,88.8,4.75,1.875,"N ",NA,NA
"187",187,1991-02-04 07:00:00,24.8,29.75,26.87,96.9,86.9,4.38,2,"N ",NA,NA
"188",188,1991-02-14 07:00:00,25.08,30.73,27.66,8.8,82.8,5.99,2.22222222222222,"N ",NA,NA
"189",189,1991-02-24 07:00:00,23.74,31.19,27.06,1,84.6,5.83,1.5,"N ",NA,NA
"190",190,1991-03-06 07:00:00,23.62,31.17,26.99,234.111111111111,85.7,5.99,1.66666666666667,"N ",NA,NA
"191",191,1991-03-16 07:00:00,23.96,30.93,26.85,127.7,87.4,5.25,NA,"N ",NA,NA
"192",192,1991-03-26 07:00:00,23.74,30.64,26.47,195.8,88.2,4.32,NA,"N ",NA,NA
"193",193,1991-04-05 07:00:00,24.33,31.54,27.44,88.2,84.8,5.91,NA,"N ",5,NA
"194",194,1991-04-15 07:00:00,24.13,31.21,26.97,103.4,87.9,5.26,NA,"N ",5,NA
"195",195,1991-04-25 07:00:00,24.18,32.47,27.76,56.5555555555556,86.1,7.02,NA,"N ",NA,NA
"196",196,1991-05-05 07:00:00,24.31,32.52,27.48,12.6,85.4,7.01,NA,"N ",NA,NA
"197",197,1991-05-15 07:00:00,24.23,31.26,26.88,175.9,89.4,4.66,1.375,"N ",NA,NA
"198",198,1991-05-25 07:00:00,24.66,31.81,27.26,104.666666666667,87.7,5.28,1.55555555555556,"N ",NA,NA
"199",199,1991-06-04 07:00:00,24.02,30.64,26.86,74,88.8,4.26,NA,"N ",NA,NA
"200",200,1991-06-14 07:00:00,24,32.52,27.69,0,82.8,7.43,1.8,"N ",NA,NA
"201",201,1991-06-24 07:00:00,22.22,31.87,26.38,2.1,82.7,7.43,2.22222222222222,"N ",NA,NA
