"","p11","mid.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"189",189,1991-09-05 07:00:00,22.9,31.8363636363636,26.7272727272727,8.5,82.1818181818182,6.35454545454545,2.55555555555556,"N ",9,120
"190",190,1991-09-16 07:00:00,22.2363636363636,32.4363636363636,26.4818181818182,1.5,80.6363636363636,6.49090909090909,3.5,"S ",9,180
"191",191,1991-09-27 07:00:00,23.2181818181818,32.0818181818182,26.9181818181818,0,80.7272727272727,4.71818181818182,3,"S ",8,180
"192",192,1991-10-08 07:00:00,23.6181818181818,31.6181818181818,26.3818181818182,19.1,86.8181818181818,2.41818181818182,2.5,"S ",8,180
"193",193,1991-10-19 07:00:00,22.6545454545455,30.8,26.1727272727273,40.5,86.0909090909091,5.09090909090909,2.125,"N ",6,100
"194",194,1991-10-30 07:00:00,23.2909090909091,31.1363636363636,26.5545454545455,22.66,85.5454545454545,4.77272727272727,NA,"N ",NA,NA
"195",195,1991-11-10 07:00:00,23.1909090909091,30.3727272727273,26.1272727272727,242.2,87.1818181818182,5.47272727272727,1.55555555555556,"N ",NA,NA
"196",196,1991-11-21 07:00:00,23.8727272727273,30.3363636363636,26.6,81.07,87.2727272727273,5.19090909090909,1.3,"N ",NA,NA
"197",197,1991-12-02 07:00:00,23.9454545454545,29.5909090909091,26.0909090909091,299.2,89.6363636363636,2.42727272727273,1.375,"N ",NA,NA
"198",198,1991-12-13 07:00:00,23.8,30.3727272727273,26.7636363636364,149.4,87,4.94545454545455,NA,"N ",NA,NA
"199",199,1991-12-24 07:00:00,23.8363636363636,29.9363636363636,26.1545454545455,374.4,88.4545454545455,3.03636363636364,NA,"N ",NA,NA
"200",200,1992-01-04 07:00:00,23.6363636363636,30.7818181818182,26.5727272727273,134.6,88.7272727272727,5.83636363636364,NA,"N ",NA,NA
"201",201,1992-01-15 07:00:00,23.7636363636364,30.7363636363636,26.7363636363636,99.77,90,5.1,NA,"N ",NA,NA
"202",202,1992-01-26 07:00:00,23.6909090909091,30.5909090909091,26.2909090909091,NA,91.3636363636364,5.37272727272727,NA,"N ",NA,NA
"203",203,1992-02-06 07:00:00,24.0909090909091,30.7090909090909,26.7818181818182,62.2,86.8181818181818,5.66363636363636,NA,"N ",5,210
"204",204,1992-02-17 07:00:00,23.6909090909091,31.1090909090909,26.8636363636364,80.4,85.2727272727273,4.86363636363636,NA,"N ",5,200
"205",205,1992-02-28 07:00:00,24.0181818181818,30.4909090909091,26.7454545454545,92.7,87,4.15454545454545,NA,"N ",NA,NA
"206",206,1992-03-10 07:00:00,23.8363636363636,31.1,26.8909090909091,67.1,86.1818181818182,5.9,NA,"N ",NA,NA
"207",207,1992-03-21 07:00:00,24.1090909090909,30.9909090909091,26.7818181818182,210.6,89.7272727272727,3.42727272727273,NA,"N ",NA,NA
"208",208,1992-04-01 07:00:00,24.1636363636364,30.9090909090909,26.6909090909091,63.7,88.4545454545455,4.45454545454546,NA,"N ",NA,NA
"209",209,1992-04-12 07:00:00,24.0909090909091,31.8909090909091,27.5,14.6,85.9090909090909,5.14545454545455,NA,"N ",NA,NA
"210",210,1992-04-23 07:00:00,23.8909090909091,32.4090909090909,27.3454545454545,143.3,88.0909090909091,6.02727272727273,NA,"N ",NA,NA
"211",211,1992-05-04 07:00:00,24.1272727272727,30.9454545454545,26.8454545454545,158.7,88.9090909090909,4.74545454545455,NA,"N ",5,360
"212",212,1992-05-15 07:00:00,24.1090909090909,32.3454545454545,27.7636363636364,83.8,86.4545454545455,6.88181818181818,NA,"N ",5,340
"213",213,1992-05-26 07:00:00,24.0363636363636,32.1727272727273,27.3727272727273,119.13,87.2727272727273,5.53636363636364,NA,"N ",3,90
"214",214,1992-06-06 07:00:00,23.9363636363636,31.4090909090909,26.7272727272727,83.2,89.6363636363636,5.26363636363636,NA,"N ",NA,NA
"215",215,1992-06-17 07:00:00,23.6727272727273,31.7454545454545,27.1909090909091,89.2,84.8181818181818,5.68181818181818,NA,"N ",NA,NA
"216",216,1992-06-28 07:00:00,23.2181818181818,32.6,27.2909090909091,11.8,82.0909090909091,6.89090909090909,2,"N ",NA,NA
"217",217,1992-07-09 07:00:00,23.1272727272727,31.9181818181818,26.4909090909091,116.5,85.8181818181818,6.00909090909091,1.81818181818182,"N ",NA,NA
"218",218,1992-07-20 07:00:00,22.9272727272727,31.5454545454545,26.5181818181818,23.65,83.6363636363636,5.70909090909091,2.2,"N ",NA,NA
"219",219,1992-07-31 07:00:00,23.3090909090909,31.4727272727273,26.6636363636364,59.2,85.9090909090909,5.88181818181818,2,"N ",NA,NA
