Nama Stasiun ,WMO ID,date,tmin,tmax,tave,humidity,precip,sunshine,wind_vel_mean,wind_dir,max_gust,max_gust_dir,precip_CP
Stasiun Meteorologi Rahadi Oesman,96615,11/12/1989,23.6,31,26.9,88,51,4.2,2,N ,9999,9999,14.4
Stasiun Meteorologi Rahadi Oesman,96615,12/12/1989,23.8,31,27.3,86,0,4.2,9999,N ,9999,9999,16.8
Stasiun Meteorologi Rahadi Oesman,96615,13/12/1989,24.6,30.8,28,82,0,8,3,N ,9999,9999,1
Stasiun Meteorologi Rahadi Oesman,96615,14/12/1989,24.2,30.8,27.8,81,28,4.5,3,N ,9999,9999,1
Stasiun Meteorologi Rahadi Oesman,96615,15/12/1989,23.2,28.4,25.8,91,0,5.5,1,N ,9999,9999,1
Stasiun Meteorologi Rahadi Oesman,96615,16/12/1989,23.2,30.2,26,89,0,5.8,2,N ,9999,9999,52
Stasiun Meteorologi Rahadi Oesman,96615,17/12/1989,23.4,30.4,26.7,88,0.8,6.7,2,N ,9999,9999,19.2
Stasiun Meteorologi Rahadi Oesman,96615,18/12/1989,24.4,29.8,26.9,89,0,4.6,1,N ,9999,9999,1
Stasiun Meteorologi Rahadi Oesman,96615,19/12/1989,24.4,30.4,27.1,87,5,6.6,9999,N ,9999,9999,3.2
Stasiun Meteorologi Rahadi Oesman,96615,20/12/1989,24,30.5,27.2,86,1.6,7.3,1,N ,9999,9999,17.6
Stasiun Meteorologi Rahadi Oesman,96615,21/12/1989,24.6,30.2,26.9,92,2.7,3.5,2,S ,9999,9999,13.5
Stasiun Meteorologi Rahadi Oesman,96615,22/12/1989,23.8,30.8,26.9,92,3.6,7.9,1,N ,9999,9999,41.5
Stasiun Meteorologi Rahadi Oesman,96615,23/12/1989,23.8,31.4,26.2,95,21.4,5.4,1,N ,9999,9999,15
Stasiun Meteorologi Rahadi Oesman,96615,24/12/1989,24.2,30.5,26.8,93,3.2,5.5,9999,N ,9999,9999,12.3
Stasiun Meteorologi Rahadi Oesman,96615,25/12/1989,24.6,30.2,26.8,92,134,2.8,9999,N ,9999,9999,36
Stasiun Meteorologi Rahadi Oesman,96615,26/12/1989,23.2,30.2,27,90,20.1,6.7,2,W ,9999,9999,18.4
Stasiun Meteorologi Rahadi Oesman,96615,27/12/1989,23.6,30.2,26.4,90,1,5.5,1,N ,9999,9999,3
Stasiun Meteorologi Rahadi Oesman,96615,28/12/1989,24,29.8,25.5,93,2.8,2.2,9999,N ,9999,9999,4.8
Stasiun Meteorologi Rahadi Oesman,96615,29/12/1989,23.2,31,26.2,88,5.1,6.3,9999,N ,9999,9999,5.6
Stasiun Meteorologi Rahadi Oesman,96615,30/12/1989,23.8,29.4,25.2,96,7,3,9999,N ,9999,9999,20
Stasiun Meteorologi Rahadi Oesman,96615,31/12/1989,23.4,28.6,25.8,94,2.7,3.5,2,N ,9999,9999,64
Stasiun Meteorologi Rahadi Oesman,96615,1/1/1990,23.6,29.2,26.2,90,0,1,1,N ,9999,9999,14.2
Stasiun Meteorologi Rahadi Oesman,96615,2/1/1990,23.4,29,25.7,92,8888,0,9999,N ,9999,9999,10.6
Stasiun Meteorologi Rahadi Oesman,96615,3/1/1990,23.4,31.6,27,88,2,8,3,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,4/1/1990,23.4,30.6,28,77,0,8,3,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,5/1/1990,25.6,29.4,27.2,84,6,3.6,3,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,6/1/1990,26,29.2,27.1,82,0,0,3,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,7/1/1990,24,30,26.7,88,0,2.6,2,N ,9999,9999,2.2
Stasiun Meteorologi Rahadi Oesman,96615,8/1/1990,24.4,30.8,27.3,86,8888,5.8,1,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,9/1/1990,23.8,27.8,25.2,94,51.8,0.1,1,N ,9999,9999,8.5
Stasiun Meteorologi Rahadi Oesman,96615,10/1/1990,24.2,29.6,27.2,84,1.6,6,2,N ,9999,9999,1
Stasiun Meteorologi Rahadi Oesman,96615,11/1/1990,23.4,30.8,26.8,83,0,7.1,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,12/1/1990,23.2,30.8,25.2,81,0,8,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,13/01/1990,23.4,31.8,26.8,87,0,6.6,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,14/01/1990,24,30.8,26.9,88,1,6.6,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,15/01/1990,24.6,31.2,27.4,87,0,6.2,9999,N ,9999,9999,25.4
Stasiun Meteorologi Rahadi Oesman,96615,16/01/1990,24.4,28,25.2,96,58.8,0,1,N ,9999,9999,35.6
Stasiun Meteorologi Rahadi Oesman,96615,17/01/1990,23.6,27.6,25.4,93,12.5,3.2,1,N ,9999,9999,2.6
Stasiun Meteorologi Rahadi Oesman,96615,18/01/1990,23.6,29.2,25.6,92,10.3,0,9999,N ,9999,9999,0.5
Stasiun Meteorologi Rahadi Oesman,96615,19/01/1990,23.4,29.4,25.5,90,1.2,0,2,N ,9999,9999,37.6
Stasiun Meteorologi Rahadi Oesman,96615,20/01/1990,23.2,29.8,26,87,0,6.4,9999,N ,9999,9999,4.2
Stasiun Meteorologi Rahadi Oesman,96615,21/01/1990,23.4,29.8,27.6,86,0,4.9,2,N ,9999,9999,1.4
Stasiun Meteorologi Rahadi Oesman,96615,22/01/1990,24,30.4,27,88,0.8,6.6,2,NW,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,23/01/1990,24,30.4,27.9,87,3.5,6.8,3,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,24/01/1990,24.2,29.6,27.4,81,0,3.1,2,N ,9999,9999,48.9
Stasiun Meteorologi Rahadi Oesman,96615,25/01/1990,24.4,29.3,27.5,83,0,2.2,4,NW,9999,9999,0
