Nama Stasiun ,WMO ID,date,tmin,tmax,tave,humidity,precip,sunshine,wind_vel_mean,wind_dir,max_gust,max_gust_dir
Stasiun Meteorologi Rahadi Oesman,96615,17/06/1986,24.4,29.8,26.1,96,0.4,2.2,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,18/06/1986,23.8,31.1,26.9,80,0.6,6.9,2,SW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,19/06/1986,24.2,31.4,27.6,90,0,5.4,2,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,20/06/1986,24.4,31.6,27.8,90,0,6.6,2,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,21/06/1986,24.8,30.8,27.2,92,0,3.8,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,22/06/1986,24.4,30.3,26.5,92,0,5.5,4,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,23/06/1986,23.4,31,26.7,88,0,7.4,4,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,24/06/1986,23.8,32,27.3,88,0,7.8,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,25/06/1986,24.4,32.4,28,89,0,7.6,3,SW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,26/06/1986,24,31.4,27.4,90,0,7.6,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,27/06/1986,24.2,31.5,27.4,87,0,7.8,2,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,28/06/1986,24.8,32.4,27.5,82,0,7.9,1,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,29/06/1986,23,33,27.1,86,0,7.8,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,30/06/1986,23.5,32,27.3,86,0,7.8,2,SE,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,01/07/1986,24,32.5,27.1,90,84.9,7.9,4,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,02/07/1986,23.2,30.2,26.3,90,0,7.5,5,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,03/07/1986,23,30.6,26.2,88,0,7,4,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,04/07/1986,22.8,31.1,25.9,87,0,6.9,4,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,05/07/1986,23,32,26.9,88,0,7.8,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,06/07/1986,24,32.4,27.6,88,0,7.6,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,07/07/1986,24,32.4,27.4,89,0,7.8,3,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,08/07/1986,24,32.2,27.3,88,0,7.8,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,09/07/1986,23,32.6,26.6,87,0,8,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,10/07/1986,23.6,32.4,27.2,85,0,7.4,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,11/07/1986,23.8,32.1,27.1,85,17.2,7.8,5,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,12/07/1986,23.4,30.2,26.3,88,3,3.8,2,NE,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,13/07/1986,23.2,31.4,26.7,84,0,6.2,2,NE,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,14/07/1986,23,32,27.1,86,8.5,7.8,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,15/07/1986,23,31.8,26.6,86,0,5.1,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,16/07/1986,23.4,31.6,26.6,91,0,7.8,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,17/07/1986,23.4,32.2,26.9,87,0,5.2,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,18/07/1986,23.7,31.4,27.2,88,0,8,9999,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,19/07/1986,24.8,32,27.6,88,0,7.1,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,20/07/1986,24.2,31.6,27.4,89,0,8,3,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,21/07/1986,23,31.8,26.9,86,0,8,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,22/07/1986,22.5,31.4,26.6,88,0,7.7,2,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,23/07/1986,23.2,30.8,26.7,88,0,6.6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,24/07/1986,22.9,32,26.8,84,0,8,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,25/07/1986,22.4,32.2,26.7,83,3.3,8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,26/07/1986,23,28.8,24.3,87,33.2,1.4,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,27/07/1986,22.2,30,25.9,91,0,4.6,5,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,28/07/1986,22,29.6,25.2,92,4.5,3,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,29/07/1986,23.2,30.6,26.5,86,0,6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,30/07/1986,23.2,30.6,25.5,93,11.4,6,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,31/07/1986,22.8,31,26,90,0,7.4,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,01/08/1986,22.4,30.7,26.2,90,0,7,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,02/08/1986,21.8,30.3,25.9,88,4.2,6.7,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,03/08/1986,21.8,31.4,26,86,0,7.5,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,04/08/1986,22.6,30.6,26.3,85,0,5.8,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,05/08/1986,23,30.7,26.3,76,0,6.7,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,06/08/1986,22.2,31.7,26.3,85,0,5.5,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,07/08/1986,23.4,31.2,27.1,84,0,8,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,08/08/1986,23,31.6,26.9,82,0,8,3,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,09/08/1986,23.4,32.2,27.3,83,0,8,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,10/08/1986,23.6,32.6,27.9,78,0,6.2,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,11/08/1986,23.2,32.5,27.1,82,0,8,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,12/08/1986,22.7,31.8,26.6,89,0,7.9,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,13/08/1986,23,32.4,27.2,87,0,8,3,S ,9999,9999
