"Date","Total_FRP"
2013-08-25,37.3
2013-08-26,237.3
2013-09-09,12.4
2013-09-11,27
2013-09-21,226.6
2013-09-22,2176.5
2013-09-24,43.3
2013-09-25,78.7
2013-09-27,398.2
2013-09-28,62.2
2013-09-29,497.2
2013-10-01,341.5
2013-10-03,233.9
2013-10-04,177.5
2013-10-05,661.1
2013-10-06,532.7
2013-10-07,27.7
2013-10-08,106.5
2013-10-09,53.7
2013-10-14,140.7
2013-10-15,82.2
2013-10-16,206.4
2013-10-17,28.4
2014-01-26,13.5
2014-01-27,24.7
2014-01-28,5
2014-01-29,29.2
2014-01-30,40
2014-01-31,228
2014-02-02,186.1
2014-02-04,1229.9
2014-02-05,661.5
2014-02-06,35.3
2014-02-07,19.6
2014-02-09,54.3
2014-02-12,188
2014-02-13,100.5
2014-02-14,89.9
2014-02-16,276.8
2014-02-18,149.8
2014-02-20,253.1
2014-02-21,193.5
2014-02-22,31.4
2014-03-09,149.8
2014-03-10,11.6
2014-03-29,10.1
2014-04-05,46
2014-04-10,25.5
2014-04-11,19.3
2014-04-16,46.8
2014-04-18,28.7
2014-05-07,23.7
2014-05-16,6.9
2014-06-10,86.5
2014-06-26,22.4
2014-07-08,17.4
2014-07-17,6.9
2014-07-19,12.4
2014-07-24,86.8
2014-07-26,18.7
2014-07-28,75
2014-07-30,443.4
2014-07-31,120.9
2014-08-01,91.7
2014-08-03,23.6
2014-08-04,28.4
2014-08-06,30.5
2014-08-07,34.7
2014-08-18,139.9
2014-08-23,73.3
2014-08-24,33.3
2014-08-25,135.2
2014-08-27,192.6
2014-08-29,46.9
2014-08-31,62.7
2014-09-01,9.1
2014-09-02,23.9
2014-09-03,365.9
2014-09-05,356.5
2014-09-06,104
2014-09-07,1200.9
2014-09-08,64.3
2014-09-09,352.3
2014-09-10,1882.5
2014-09-11,901.7
2014-09-12,454.2
2014-09-13,270.9
2014-09-14,1382.7
2014-09-15,1882
2014-09-16,555.5
2014-09-17,718.8
2014-09-19,252.4
2014-09-20,251.2
2014-09-21,1098.2
2014-09-22,102.2
2014-09-23,4429.1
2014-09-24,607.9
2014-09-25,2098.1
2014-09-26,592
2014-09-27,60.1
2014-09-28,73.5
2014-09-30,43.7
2014-10-01,35.2
2014-10-02,2136.6
2014-10-03,5725
2014-10-04,1570.9
2014-10-05,159.7
2014-10-07,2154
2014-10-08,151.7
2014-10-09,1843
2014-10-10,172.7
2014-10-13,13.9
2014-10-14,164.7
2014-10-28,31.7
2014-10-30,39
2014-11-01,96.5
2014-11-03,3554.9
2014-11-04,43
2014-11-08,9.9
2015-02-03,9.8
2015-02-26,16
2015-03-20,5.7
2015-03-21,20.4
2015-03-25,13.5
2015-05-10,11.5
2015-06-22,26.1
2015-06-23,22.6
2015-06-25,12.6
2015-06-27,67.9
2015-06-28,10.4
2015-06-29,78.6
2015-07-06,73.9
2015-07-08,92.7
2015-07-13,22.9
2015-07-15,12.3
2015-07-17,17.1
2015-07-18,50.8
2015-07-19,16
2015-07-20,125.7
2015-08-03,79.1
2015-08-05,11
2015-08-07,58.6
2015-08-09,34
2015-08-11,92.6
2015-08-13,48.3
2015-08-14,50.9
2015-08-15,25.2
2015-08-16,827.6
2015-08-17,61.6
2015-08-18,850.4
2015-08-19,507.8
2015-08-20,820.9
2015-08-21,517.2
2015-08-22,463.6
2015-08-23,536.8
2015-08-24,22.5
2015-08-25,197.5
2015-08-26,600.9
2015-08-29,361.4
2015-08-30,74.3
2015-08-31,1059
2015-09-01,2311.6
2015-09-03,2212.2
2015-09-04,1988.3
2015-09-05,1029.6
2015-09-06,934.3
2015-09-07,190.4
2015-09-08,4586
2015-09-09,2537.8
2015-09-10,5302
2015-09-11,150.7
2015-09-12,361.2
2015-09-13,495
2015-09-14,450.8
2015-09-15,1336.6
2015-09-17,132.6
2015-09-19,17.4
2015-09-20,63.4
2015-09-21,1432.3
2015-09-22,1401.3
2015-09-23,181.3
2015-09-24,45.5
2015-09-25,56.7
2015-09-26,1504.9
2015-09-28,330.3
2015-09-29,28.3
2015-10-01,45
2015-10-03,194.6
2015-10-09,10
2015-10-10,712.8
2015-10-11,43.7
2015-10-14,24.3
2015-10-15,46.2
2015-10-16,12.1
2015-10-17,50.8
2015-10-19,264
2015-10-20,8652.4
2015-10-21,13291.6
2015-10-23,142.5
2015-11-20,10.2
2015-12-06,6.6
2016-03-04,23
2016-03-18,14.5
2016-03-20,8.2
2016-03-27,5.7
2016-03-29,11.7
2016-05-05,5
2016-07-08,35.3
2016-07-24,13
2016-08-04,46.2
2016-08-18,19.1
2016-08-19,80.7
2016-08-20,223.4
2016-08-22,14.5
2016-08-23,8.5
2016-08-24,22.1
2016-08-27,36.1
2016-09-14,169.3
2016-09-17,33.8
2016-09-29,41.4
2016-10-12,10.1
2017-04-11,37.4
2017-05-26,18.5
2017-08-19,8.9
2017-09-11,11.4
2017-09-22,23.3
2017-09-29,8.9
